amount,dataset,date,longitude,latitude
9,CBERS4_AWFI_L4_DN,2016-09-09,-39.0,-4.5
4,CBERS4_AWFI_L4_SR,2016-09-09,-40.0,-9.5
9,CBERS4_AWFI_L4_SR,2016-09-10,-53.0,6.5
9,CBERS4_AWFI_L4_SR,2016-09-11,-48.0,-9.5
13,CBERS4_AWFI_L4_SR,2016-09-12,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-09-13,-52.0,6.5
10,CBERS4_AWFI_L4_SR,2016-09-14,-45.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-09-15,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-09-16,-52.0,1.0
11,CBERS4_AWFI_L4_SR,2016-09-17,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-09-18,-36.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-09-19,-51.0,1.0
11,CBERS4_AWFI_L4_SR,2016-09-20,-43.5,-4.5
1,CBERS4_AWFI_L4_DN,2016-09-21,-66.5,-31.0
11,CBERS4_AWFI_L4_SR,2016-09-21,-35.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-09-22,-50.5,1.0
12,CBERS4_AWFI_L4_SR,2016-09-23,-42.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-09-24,-34.0,-4.5
11,CBERS4_AWFI_L4_SR,2016-09-25,-49.5,1.0
12,CBERS4_AWFI_L4_SR,2016-09-26,-42.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-09-27,-33.0,-4.5
11,CBERS4_AWFI_L4_SR,2016-09-28,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2016-09-29,-41.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-09-30,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2016-10-01,-48.5,-4.5
5,CBERS4_AWFI_L4_DN,2016-10-02,-40.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-10-02,-62.5,6.5
9,CBERS4_AWFI_L4_SR,2016-10-03,-54.0,6.5
7,CBERS4_AWFI_L4_SR,2016-10-04,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-10-05,-39.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-10-06,-53.0,6.5
10,CBERS4_AWFI_L4_SR,2016-10-07,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-10-08,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-10-09,-52.0,6.5
1,CBERS4_AWFI_L4_DN,2016-10-10,-68.5,6.5
10,CBERS4_AWFI_L4_SR,2016-10-10,-45.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-10-11,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-10-12,-52.0,1.0
5,CBERS4_AWFI_L4_SR,2016-10-13,-67.5,6.5
13,CBERS4_AWFI_L4_SR,2016-10-14,-36.0,-4.5
6,CBERS4_AWFI_L4_SR,2016-10-17,-61.5,-9.5
2,CBERS4_AWFI_L4_SR,2016-10-18,-76.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-10-19,-42.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-10-20,-34.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-10-21,-49.5,1.0
10,CBERS4_AWFI_L4_SR,2016-10-22,-45.5,-20.5
10,CBERS4_AWFI_L4_SR,2016-10-23,-34.5,-9.5
11,CBERS4_AWFI_L4_SR,2016-10-24,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2016-10-25,-41.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-10-26,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2016-10-27,-48.5,-4.5
14,CBERS4_AWFI_L4_SR,2016-10-28,-40.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-10-29,-54.0,6.5
9,CBERS4_AWFI_L4_SR,2016-10-30,-47.5,-4.5
15,CBERS4_AWFI_L4_SR,2016-10-31,-10.0,11.5
4,CBERS4_AWFI_L4_SR,2016-11-01,-59.0,-20.5
10,CBERS4_AWFI_L4_SR,2016-11-02,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-11-03,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-11-04,-52.0,6.5
12,CBERS4_AWFI_L4_SR,2016-11-05,-45.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-11-06,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-11-07,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2016-11-08,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-11-09,-37.0,-9.5
10,CBERS4_AWFI_L4_SR,2016-11-10,-51.0,1.0
11,CBERS4_AWFI_L4_SR,2016-11-11,-43.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-11-12,-35.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-11-13,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2016-11-14,-42.5,-4.5
8,CBERS4_AWFI_L4_SR,2016-11-15,-58.0,1.0
12,CBERS4_AWFI_L4_SR,2016-11-16,-49.5,1.0
13,CBERS4_AWFI_L4_SR,2016-11-17,-41.5,-4.5
9,CBERS4_AWFI_L4_SR,2016-11-18,-56.0,6.5
10,CBERS4_AWFI_L4_SR,2016-11-19,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2016-11-20,-41.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-11-21,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2016-11-22,-48.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-11-23,-40.0,-4.5
7,CBERS4_AWFI_L4_SR,2016-11-24,-54.0,6.5
11,CBERS4_AWFI_L4_SR,2016-11-25,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-11-26,-39.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-11-27,-53.0,6.5
11,CBERS4_AWFI_L4_SR,2016-11-28,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-11-29,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-11-30,-52.0,6.5
11,CBERS4_AWFI_L4_SR,2016-12-01,-45.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-12-02,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-12-03,-52.0,1.0
11,CBERS4_AWFI_L4_SR,2016-12-04,-44.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-12-05,-37.0,-9.5
10,CBERS4_AWFI_L4_SR,2016-12-06,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2016-12-07,-43.5,-4.5
12,CBERS4_AWFI_L4_SR,2016-12-08,-35.0,-4.5
10,CBERS4_AWFI_L4_SR,2016-12-09,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2016-12-10,-42.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-12-11,-34.0,-4.5
11,CBERS4_AWFI_L4_SR,2016-12-12,-49.0,1.0
11,CBERS4_AWFI_L4_SR,2016-12-13,-41.5,-4.5
8,CBERS4_AWFI_L4_SR,2016-12-14,-55.5,6.5
11,CBERS4_AWFI_L4_SR,2016-12-15,-48.0,1.0
12,CBERS4_AWFI_L4_SR,2016-12-16,-41.0,-4.5
9,CBERS4_AWFI_L4_SR,2016-12-17,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2016-12-18,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-12-19,-40.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-12-20,-55.0,1.0
11,CBERS4_AWFI_L4_SR,2016-12-21,-47.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-12-22,-41.0,-15.0
4,CBERS4_AWFI_L4_SR,2016-12-23,-55.0,-4.5
12,CBERS4_AWFI_L4_SR,2016-12-24,-46.5,-4.5
11,CBERS4_AWFI_L4_SR,2016-12-25,-38.0,-4.5
4,CBERS4_AWFI_L4_SR,2016-12-26,-53.0,1.0
10,CBERS4_AWFI_L4_SR,2016-12-27,-45.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-12-28,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2016-12-29,-51.0,6.5
10,CBERS4_AWFI_L4_SR,2016-12-30,-44.5,-4.5
13,CBERS4_AWFI_L4_SR,2016-12-31,-36.0,-4.5
10,CBERS4_AWFI_L4_SR,2017-01-01,-51.0,1.0
9,CBERS4_AWFI_L4_SR,2017-01-02,-43.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-01-03,-35.0,-4.5
10,CBERS4_AWFI_L4_SR,2017-01-04,-50.0,1.0
9,CBERS4_AWFI_L4_SR,2017-01-05,-42.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-01-06,-34.0,-4.5
11,CBERS4_AWFI_L4_SR,2017-01-07,-49.0,1.0
11,CBERS4_AWFI_L4_SR,2017-01-08,-41.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-01-09,-56.0,6.5
11,CBERS4_AWFI_L4_SR,2017-01-10,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2017-01-11,-41.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-01-12,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2017-01-13,-48.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-01-14,-40.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-01-15,-55.0,1.0
11,CBERS4_AWFI_L4_SR,2017-01-16,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-01-17,-39.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-01-18,-54.0,1.0
11,CBERS4_AWFI_L4_SR,2017-01-19,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-01-20,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-01-21,-52.0,6.5
